wallet,seerscore,rank_overall,raw_seer_score,pnl_usd_approx,volume_usd,trade_count,active_days
0x4024CeA7681ee1cA3def7de8a21eA25e00893A12,10,1,2.911253195227423,1000000.0,1000000.0,1,1
0xf8BA34BF0e95D952D05b578BFBC0833F9242a286,10,1,2.806049596992862,793882.0697651936,31106021.219927322,52277,110
0x3Cf3E8d5427aED066a7A5926980600f6C3Cf87B3,10,2,2.7770255198562155,595226.5033932327,15076032.944977539,21119,330
0x5bFFCF561BCaE83AF680ad600cb99F1184d6fFbe,10,3,2.66503799475943,998962.3320492887,37250838.203949094,12808,147
0x182A098BDA4B4dbF25FF1943C84142A699c05085,10,4,2.65335021578604,407944.41350626026,11949953.6854424,28009,603
0x63D43bbb87F85AF03b8F2F9E2fAd7B54334fA2f1,10,5,2.6363955995762307,402097.198851594,43656869.52836214,406055,148
0xdB8D7baf8a05FB0d36F7405A64A37255752e5A52,10,6,2.5457594960261263,414938.03887257,3302010.464850001,29508,94
0x1F2DD6D473f3e824cd2f8A89d9c69fb96F6aD0CF,10,7,2.5039199757151263,2629631.6813227455,17183254.554989234,6398,44
0xd235973291B2b75ff4070E9C0b01728C520B0f29,10,8,2.4657152629541885,4216135.837241558,15679160.586629948,6406,25
0xD218E474776403A330142299f7796E8BA32Eb5C9,10,9,2.4338345164131048,301294.8825964275,63308342.33136789,556847,172
0x56687BF447DB6fFA42FFE2204a05EDAA20f55839,10,10,2.3898519692181277,5205017.25727456,11168561.873619996,4466,15
0xa1d75a199Ef084EE3Ec9AE60DC986b439FE6E17e,9,11,2.3862730019383442,727111.7155035697,5194506.687949998,2023,54
0x59ee6c6A56d7b00223f0c30f8002C4Df762B684d,9,12,2.2089325787024423,217560.07320321145,51893673.38032935,240142,215
0x885783760858e1Bd5DD09A3c3F916cfa251ac270,9,13,2.206045384913053,1315903.95002228,3068651.1288199993,1298,8
0xd31a2EA0b5f9a10C2EB78DCc36DF016497D5386E,9,14,2.2026791355953295,703006.1240392164,2077344.6018083165,904,14
0x78B9ac44a6D7D7A076c14e0AD518b301b63c6B76,9,15,2.1936630050466834,2365134.15023783,4641881.368769999,1086,9
0xeD2239A9150c3920000D0094d28fA51C7dB03DD0,9,16,2.1821072782073623,788664.84812048,2444060.2955000005,922,10
0x23786fdaD0073692157C6D7dc81f281843A35Fcb,9,17,2.1771401238164434,972746.00297692,2319373.49464,1091,7
0x16f91Db2592924cfEd6e03B7E5cB5bB1E32299e3,9,18,2.168664068848884,994615.5715263295,2481257.699210001,1237,5
0x033a07B3De5947EAb4306676aD74eB546dA30d50,9,19,2.1674184835112698,1561566.8821500798,3998901.73162,1002,7
0x8119010a6e589062aA03583BB3F39cA632d9F887,9,20,2.166535664736616,441518.89291810716,6259914.438869995,2126,15
0x863134d00841b2E200492805a01E1E2f5DefAA53,9,21,2.1407684197277437,1707662.8220371304,3204475.3273099996,969,5
0x94a428CFa4f84B264e01f70d93d02Bc96CB36356,9,22,2.131947917201371,986648.6502978778,3151939.5211420935,897,5
0x79f293c48f651bAA31c8086a228102f57B127620,9,23,2.109982466864079,410378.0645529,3601099.4247199995,1278,34
0x9d84cE0306F8551e02EFef1680475Fc0f1dC1344,9,24,2.1034829393164673,218866.52978995195,14867067.435298875,18220,326
0x13d70b3F090e393481eDdeB3c7DA7E1A31FE8A7e,9,25,2.0937051634489827,252381.0423650357,12275291.216939427,8247,228
0x629BC4a1E53e1d475beB7ea3D388791e96Dd995A,9,26,2.090160440221841,293828.908993753,3715086.1664899783,3174,207
0x3D1Ecf16942939B3603C2539A406514A40b504D0,9,27,2.0804297269386605,699640.1725272016,1994864.122714753,324,13
0xd0c042C08F755FF940249f62745e82d356345565,9,28,2.0786127962394705,1386763.89260336,2953667.0346799996,969,2
0xBA664F999A18Dce0aac6AF698Af434924A24F59D,9,29,2.0601372713667336,574399.1699435932,1314811.6414130148,317,10
0xE9aD918C7678cD38B12603A762e638A5d1EE7091,9,30,2.0564319732159926,885113.7947829517,6531937.068006963,798,2
0xd49c4579bbC25D1D1a26a1976C9576d806C98150,9,31,2.0520655736461895,209682.13960517192,14177910.642859682,40654,63
0xF5423bF932623dD27369D0Db5c13698D6e2dCbB0,9,32,2.0136168225791637,199302.56092411495,5100385.435920003,18628,231
0xE899b5Ea69AFB161da7A35597b6Fe70398860899,9,33,2.0126335633989427,382274.3878333199,3006175.6543199993,702,48
0x051B16FFAc0f10a8Df96b93cc03faCCE011ea5E5,9,34,2.007942870551708,737682.6481804244,1999471.9999864823,522,2
0xd7F85d0eB0fe0732cA38D9107AD0D4D01B1289e4,9,35,1.996541653519814,441168.19964206,1929661.1247200004,448,17
0xb5fc4d5388952Dc7a798fE784Fe659f9a20E5Ca4,9,36,1.9910322943349104,197908.05724279291,6938813.085334884,23598,120
0x2bf64b86b64c315D879571B07A3B76629e467CD0,9,37,1.9704624456672932,632949.9044828401,1093409.4142799987,376,2
0x0562c423912E325F83Fa79dF55085979E1f5594f,9,38,1.963305838186142,383578.6301623499,994780.92601,673,24
0x2fF0E36eb9632A47C3EB75224BbA1F141A6346e3,9,39,1.9159809572252098,184320.29925982974,6537607.774760032,18461,130
0x351A72160E477863D13666c62ef1e7631B3940bB,9,40,1.8714739237512907,300215.47292501095,3177216.334762373,1151,36
0x9CF099524BBc19FC4eec032e50776613cC46257f,9,41,1.8464279389864473,173641.4796525042,4044692.4608069356,14308,137
0x025d3A53D2c21348aE5E33A87a29689c041Bb67f,9,42,1.7986497142851257,183824.7643722435,5775301.115042538,8103,95
0x10B30364936B03d26B3FD01a63D1f991454b40d4,9,43,1.797125456370364,321076.61918674,1305065.7624,536,21
0xd77850AaE118DBc2d910687CC03A7a50beC4b496,9,44,1.7711265138076888,174051.12836087047,4847625.901325748,6022,189
0x851422d133DDeee453988b3397B8F8A1A67c94cE,9,45,1.7676882960169187,123449.37071340086,14354634.027358675,87036,152
0xcd1082aa4b5f673FAf647A14B35E30365aA292Ef,9,46,1.7599091064946912,241321.24966232016,19429311.257941402,1297,61
0xfF30AC5b2CB4822A1B15604Ac90659ef71314A37,9,47,1.7460946980379202,242087.63328376,1893472.1346993328,1126,61
0x9D333d3122c0e38dE533B2E59343a92DF9e1FA02,9,48,1.7354915915522993,352379.1888414961,822693.1249248554,402,5
0x71ED0BC95433cdF1bE29F43219725FcE9addd9EB,9,49,1.721819722073592,155416.10777999068,2176989.2041953104,6660,264
0xB74711992cAf6D04fa55eecc46b8Efc95311b050,9,50,1.7102708564155467,184756.63921458196,2049558.093788397,2234,214
0x07b0E21FF4a623c20a9042AB89c9641deDFCf528,8,51,1.701928892315368,191160.32771866725,6763255.659937718,2327,122
0x5F390E4B7D6f06D6756a6c92Afdbf7b3176aa78c,8,52,1.6950858801163367,108357.68228890086,7086587.010202132,99615,215
0xcf0D7f69cF162918B33fC1Ea7449583fA537132d,8,53,1.6387025135341862,206665.91500299267,2659809.8988808147,1327,53
0x8640a770436B418149544B37F1E156A095b9Ce48,8,54,1.633891872743127,145486.39013956353,22364412.85788721,5760,189
0x3322Ce0F688bFaF275AAA71092ecCafddd752094,8,55,1.63308952412093,209189.60703421128,1360523.1030473653,1239,48
0xa964e78A49A9B515F2f8c81033fe819631748409,8,56,1.6166820689505008,127960.19282885753,4473152.868848796,10121,229
0x64F8D315efD2D03897A03985Fc42719f56952dAA,8,57,1.606174774472887,276184.79355315247,706746.4654654323,354,13
0xd42F6a1634A3707e27cBae14ca966068E5D1047d,8,58,1.6042906272180775,112723.90058975162,5894848.847342462,15577,366
0x0225d94CF433EBFA3114DCeE1Afb97aC25BB70d2,8,59,1.6038999329475723,215342.85987103844,827204.9998724615,827,45
0x15692550650de5817aF4202681A4E38dCf34bf0C,8,60,1.6020865842620204,222834.699613892,2572988.9677395676,771,34
0x8E9A8267C7d5A592288c5f1a35b1B2eA5419D83C,8,61,1.6014466573907662,131389.50995690495,6744932.199004752,13546,84
